Nr.crt,Nr.dosar,Medie admitere
129,48942.0,7.4
130,49311.0,7.4
131,40060.0,7.4
132,37057.0,7.4
133,43237.0,7.4
134,36825.0,7.4
135,44812.0,7.4
136,40884.0,7.4
137,36573.0,7.4
139,45325.0,7.4
140,36465.0,7.4
141,37483.0,7.4
142,41054.0,7.4
143,45867.0,7.4
144,46486.0,7.4
145,38788.0,7.3
146,36766.0,7.3
147,40987.0,7.3
148,47568.0,7.3
149,38714.0,7.3
150,38934.0,7.3
151,42638.0,7.3
152,36543.0,7.3
153,39580.0,7.3
154,44512.0,7.3
155,43719.0,7.3
156,46981.0,7.3
157,47345.0,7.3
158,50747.0,7.2
159,38937.0,7.2
160,37060.0,7.2
161,48290.0,7.2
162,40942.0,7.2
163,40711.0,7.2
164,40447.0,7.2
165,49750.0,7.2
166,39751.0,7.2
167,40654.0,7.2
168,40968.0,7.2
169,39179.0,7.2
170,36273.0,7.2
171,49964.0,7.2
172,36568.0,7.2
173,41794.0,7.2
174,36567.0,7.2
175,44879.0,7.2
176,41616.0,7.2
177,39050.0,7.2
178,43683.0,7.2
179,49261.0,7.2
180,36475.0,7.2
181,44548.0,7.2
182,41233.0,7.2
183,42443.0,7.2
184,49538.0,7.2
185,44789.0,7.1
186,41500.0,7.1
187,39707.0,7.1
189.0,40693.0,7.1
190.0,45738.0,7.1
191.0,42451.0,7.1
